Source,Target,Type,Id,Label,timeset,Weight,a,tender_indicator_integrity_single_bid,tender_indicator_integrity_call_for_tender_publication,tender_indicator_integrity_advertisement_period,tender_indicator_integrity_procedure_type,tender_indicator_integrity_decision_period,tender_indicator_integrity_tax_haven,tender_indicator_integrity_new_company,tender_indicator_administrative_centralized_procurement,tender_indicator_administrative_electronic_auction,tender_indicator_administrative_covered_by_gpa,tender_indicator_administrative_framework_agreement,tender_indicator_administrative_english_as_foreign_language,tender_indicator_administrative_notice_and_award_discrepancies,tender_indicator_transparency_number_of_key_missing_fields,mean_cri,cri_cat
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_88c25366440958cccb2cd8d4fee8e0b549da766c44301cd3afc0ab33055dd416,Undirected,145950,,,1,146593,100,100,100,100,NA,100,NA,NA,0,0,0,0,90.9091,NA,59.09091,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_33bbe6db3f7caf0f3382a92dcb0ab65e956616ca06393bf5e01cb3c9fafbbf78,Undirected,145949,,,1,146592,100,100,100,100,NA,100,NA,NA,0,0,0,0,90.9091,NA,59.09091,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_01f903bd937abc76e856d68118d3ef43c83b0904424dc5e50785c8b42f640f4c,Undirected,145948,,,1,146591,100,100,100,100,NA,100,NA,NA,0,0,0,0,90.9091,NA,59.09091,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_9f048248f35db53f7fd617bc8191fbd128d65c2cd51f1a3b1219010234c44a9a,Undirected,145839,,,1,146470,0,0,100,0,0,100,NA,NA,0,0,0,,,NA,22.222222,low
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_044ab55b3cae9a7ed028336b1c61aabd6db17e47d34e59dbb1cd7f68b0cfebf7,Undirected,50270,,,1,50657,100,100,100,100,NA,100,NA,NA,0,0,100,0,90.9091,NA,69.09091,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_5f7bd1ae073142e3c51feb16960a8a1393711fd18544d4e5c281921dcab934b3,Undirected,49371,,,1,49556,100,100,100,100,NA,100,NA,NA,0,0,0,0,91.6667,NA,59.16667,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_f3fce266ebb838b7929ec3e5a12273eca585bd4c77e4b3f2ef118a4f6b4db3ee,Undirected,1173,,,1,1194,100,100,100,100,NA,100,NA,NA,0,0,0,100,91.6667,NA,69.16667,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_913bb4cbe9211336d3d3d19f6161794a1788b4eb40994debee303662f915cd59,Undirected,545,,,1,546,100,100,100,100,NA,NA,NA,NA,0,0,0,100,91.6667,NA,65.740744,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_dd29373e6825aa4eea622f5c08a747218c53b20658bc46861dfe316e31540544,Undirected,544,,,1,545,100,100,100,100,NA,NA,NA,NA,0,0,0,100,91.6667,NA,65.740744,high
EU_body_c837327caee655af2700d81a6afc0a7e16f702a7edb4f243cb905a37fae57403,EU_body_5af5e43f0f47b5f950e8a25b07713873199c765065e40e2b658072ddc50ee9ca,Undirected,0,,,1,1,100,100,100,100,NA,NA,NA,NA,0,0,100,100,90.9091,NA,76.767678,high
