ID,label,type,buyer_type,city
RO_body_fcf343dcd905f481df033328392befa8a52830bca671eb54c3c552495ee35c88,2 Ind S.R.L.,bidder,,Craiova
RO_body_12e6ac00c2b15087852a40189a4d8dd40ead452e0857181164a450cb2dc59ac1,200 Fly S.R.L.,bidder,,Baia Mare
RO_body_2ef458c21132109ef569080cde6bb44b6e8db18e4c245d5d0954a6bdb85cca5b,2Ct S.R.L.,bidder,,Cluj Napoca
EU_body_bc80fb17043cc7299ab5cc703ce44876dfccede77270dafb4d1e685972ac0040,2K Telecom Srl,bidder,,Ploiesti
RO_body_e2f4b035e9e5c2c7d50078375b69a64c8e6c2282532b9999404ed7e1ad9a9dc9,2M Digital S.R.L.,bidder,,Bucuresti Sectorul 1
RO_body_9328c5b89b07773fc0619244c42537066e29cef430f9f965f112c2155a013645,2M Distribution Grup S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_352a33e3e71371246b3bd9db5bafc64d832ab4af6278c5214b891575ecd4e352,2Net Computer S.R.L.,bidder,,Brasov
EU_body_0507437797fe0f4b12d19e81fa15436a9ff66394af1bb5f22eb83133df9803d9,3 I Automatizari Si Telecomunicatii Srl,bidder,,Craiova
EU_body_d94165d48c2ac353db663ab41bdbda25ab7910a53e5e17064cdb14527576ce75,3C Total Consult S.R.L.,bidder,,Bucuresti
RO_body_4327b15e5bf7ce81252e4a8b4fbb22aa4124b53b5a2e40fb32705af8a7eced51,3E Inginerie Electrica S.R.L.,bidder,,Miercurea Ciuc
RO_body_dd4a4f549e142440af0f94ff93aec6345506da4fc69cb078e488142417ceb51d,3R Consulting S.R.L.,bidder,,Bucuresti Sectorul 5
EU_body_d3296a98bf37c1a82e109cdf92fdb962c633556f023474d90c88a1d41174809d,3Z Electroservice S.R.L.,bidder,,Piatra Neamt
RO_body_26843ecafd496e3a842e6deb4b9599c370659e626fa57909df62a92b4f8c7c35,911 Casa De Print Si Productie S.R.L.,bidder,,Bucuresti Sectorul 1
EU_body_b4040e22d9bec1ca2feaf6e0afb852365164abaa80f783c1c51861e45798344c,A & A Medical S.R.L.,bidder,,Bucuresti
RO_body_264d8231d39c4efbec16ef575b5938d551c3cbdd765978422827daaec9528a32,A & B Activ Distribution S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_e8e42e9a722fcae78a9bf4167190767b0778fd1d8e768dc71d1b508a9f96adb0,A & Br Invest 56 S.R.L.,bidder,,Bucuresti Sectorul 4
RO_body_5f67d4a9f5139327cfa02339a8e8d5aecedc57bee427b176b110673b8f8b7ca5,A & S International 2000 S.R.L.,bidder,,Bucuresti Sectorul 6
RO_body_3dc5a149476b7517f2d2793bc7b8ab36eeaa98083a4c34bec601cba6f2cd4a1c,A & T Pharma S.R.L.,bidder,,Slobozia
RO_body_74d2c7968d89033a79e8c5c2c154db7832e82489e622e74c87c2567d9e1eb19b,A W C S.R.L.,bidder,,Sfantu Gheorghe
EU_body_136fc44c660bd86b88b56cb585ea9a8be4393ac365ba7d93d14a50afbed2e772,A&A Medical S.R.L.,bidder,,Bucuresti
RO_body_2fc841a6725308808419b862f54f8fc0a9488afab2ad71f788a3dd6dce664fb2,A&B Invest Service S.R.L.,bidder,,Bucuresti Sectorul 6
RO_body_0520a667d95f18183c2dec38fa0b6ead87ce220e27250c2dfc6f9f7944cf2c32,A&B Trade Co S.R.L.,bidder,,Timisoara
hash::group_RO_body_1729b75a63fbe2e9468ff7f2f2d5df8d9c5c7ecb5f8810478b2d48159d90ef4b,A&C Computers S.R.L.,bidder,,Cluj Napoca
RO_body_e2c07928f9c5557a70420b7f8ba6d867ebedfb9192e7520eefb3c3ee3883ead6,A&G Med Trading S.R.L.,bidder,,Bucuresti
RO_body_262b8df672a6211b31082bee30221d1b791cb16dad8a6a39c5b7515132e62c1d,A&G Mir Plast S.R.L.,bidder,,Cluj Napoca
EU_body_a64a374864c31d3cf9d9daa4198b02526994c15605e466515d99228a088f0332,A&M Diagnostic Line Srl,bidder,,Bucuresti
RO_body_5f5873d0aa8f16916b996aac75e800e62f2cf05884b9d1adb6c5efa1a0468c57,A&N Constructions Group Invest S.R.L.,bidder,,Bucuresti Sectorul 3
EU_body_ca6e531862e3b9bfbe8bc9b8b1896dc5498d906680b2cd2b5d0138db141696e4,A.D.M. Farm S.R.L.,bidder,,Bucuresti
EU_body_884aa23f35144fc99131cc93e5dbbd202ccb48fea3f78796afdd6d6be216caaf,A.D.S. Solutions Srl,bidder,,Brasov
RO_body_762be795a819006839ae12e00712b63f7e2ce2dda97fc5db6d08852a0ab28605,"A.F. Marcotec Bucuresti-Consulting,Engineering,Marketing S.R.L.",bidder,,Bucuresti Sectorul 4
RO_body_df8044a2e88802924258322578a843f4062c68f4cb66c7ea60369cdc6c8f643f,A.G. Grupinstal S.R.L.,bidder,,Focsani
EU_body_7d2b406fbd398e0ac34dc0fbb9c0f3816b9608a825b669450f0116f7ed584326,A.G.P. Invest International S.R.L.,bidder,,Bucuresti
RO_body_f7711ca178b58f11d0ad94698a7521f3d385e2d4f2a8526b70f9db4f951e0f0e,A.M.F. Mobgrup S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_47c30313503874342fcce7e870ad6666f4f0e9a125274b564362b74e91aabff6,A.M.G. Comservice S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_0a932e919a4ee225b13d78ebf395aa8c0df315cc54b4f24e02646be9e0d38656,A.M.S. 2000 Trading Impex S.R.L.,bidder,,Bucuresti Sectorul 3
EU_body_9c115c4ce3bd04175a466338c1e14ef8f9374e3d73b77bfb03b897a3f040247d,A.N.V. Trader S.R.L.,bidder,,Craiova
RO_body_75fb02d468fe9368cb3f0d72e9722a207494c3d84b4e7a456922ab040e53fa7b,A.T.D. System S.R.L.,bidder,,Bucuresti Sectorul 2
EU_body_8bef0ccb8e444e2dc8feaf3a734cf19fa0e97c38e7254519a2861e8d784df8f2,Aa Marketing & Management Srl,bidder,,Bucuresti
RO_body_0de382f668fc721b2c92cd0e683dfbf15219b1a8169dea7943d6d7a1b699b48f,Aaa Birotica S.R.L.,bidder,,Bucuresti Sectorul 5
RO_body_76aa207cf71df19905c6e86c0f7db1797bf8ff845c4424b6cc3833342e7bbbc0,Aauto Equip S.R.L.,bidder,,Cluj Napoca
RO_body_27c71f968e6ce0ba1fb6e412d1eaf7dcf8969ad89614bec673a2a56c79498416,Ab Instal S.R.L.,bidder,,Craiova
RO_body_939936bba87f6d48572f69cee050159ee55f1f00da9c6b612c70a6744a8b7858,Ab T & Co S.R.L.,bidder,,Bucuresti Sectorul 1
EU_body_fcfeebcbdd7cbd7def753828eb5f80e7435d1779e39dc02542a8c7f8fb7ceaf5,Ab T&Co - Divizia Medicala S.R.L.,bidder,,Bucuresti
